Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Deportivo La Coruna,Davy Roef,0,0,0,1,4,7.60
Villarreal,Sergio Asenjo,18,44,1,11,68,7.03
Barcelona,Marc-André ter Stegen,27,65,0,13,122,7.01
Sevilla,David Soria,0,0,0,1,2,7.00
Villarreal,Andrés Fernández,5,30,0,5,54,6.97
Deportivo Alaves,Fernando Pacheco,12,70,2,11,115,6.93
Sevilla,Sergio Rico,17,63,1,12,112,6.90
Deportivo Alaves,Adrián Ortolá,0,2,0,1,6,6.90
Espanyol,Diego López,12,65,0,11,117,6.89
Atletico Madrid,Miguel Ángel Moyà,2,15,0,5,25,6.89
Real Madrid,Keylor Navas,22,49,0,5,82,6.88
Real Madrid,Kiko Casilla,3,12,1,5,23,6.85
Atletico Madrid,Jan Oblak,9,42,1,15,63,6.84
Granada,Guillermo Ochoa,26,116,2,3,162,6.82
Real Betis,Antonio Adán,26,70,1,10,127,6.82
Eibar,Yoel Rodríguez,28,49,1,6,74,6.82
Celta Vigo,Rubén Blanco,5,24,0,2,30,6.80
Valencia,Jaume Doménech,1,6,0,1,9,6.80
Eibar,Markel Areitio,2,2,0,0,2,6.80
Real Sociedad,Gerónimo Rulli,27,68,1,10,111,6.79
Leganes,Nereo Champagne,0,6,0,1,12,6.78
Sporting Gijon,Iván Cuéllar,44,72,2,7,127,6.77
Malaga,Carlos Kameni,14,63,1,8,91,6.76
Athletic Bilbao,Gorka Iraizoz,22,30,2,2,41,6.76
Sporting Gijon,Diego Mariño,0,4,0,0,9,6.75
Athletic Bilbao,Kepa Arrizabalaga,12,25,0,7,40,6.71
Deportivo La Coruna,Germán Lux,9,43,0,6,76,6.71
Celta Vigo,Sergio Álvarez,13,51,0,5,89,6.70
Valencia,Diego Alves,20,60,6,6,92,6.67
Leganes,Iago Herrerín,23,24,1,6,45,6.67
Las Palmas,Raúl Lizoain,21,18,0,3,35,6.65
Valencia,Mathew Ryan,1,1,1,0,5,6.65
Deportivo La Coruna,Przemysław Tytoń,9,21,0,2,31,6.62
Leganes,Jon Ander Serantes,15,21,0,4,31,6.60
Osasuna,Álvaro Fernández,0,1,0,0,1,6.60
Las Palmas,Javi Varas,23,43,0,2,68,6.58
Osasuna,Mario Fernández,8,15,2,1,20,6.57
Real Betis,Dani Giménez,2,1,0,0,3,6.50
Leganes,Diego Barrios,1,0,0,0,1,6.50
Osasuna,Nauzet Pérez,19,27,0,0,38,6.48
Osasuna,Salvatore Sirigu,23,32,3,1,55,6.44
Barcelona,Jasper Cillessen,2,0,0,0,2,6.40
Eibar,Asier Riesgo,16,18,0,3,32,6.34
Espanyol,Roberto,1,8,0,0,10,6.20
Malaga,Denys Boyko,0,3,0,0,3,6.17
Celta Vigo,Iván Villar,3,1,0,0,2,6.10
Barcelona,Claudio Bravo,0,0,0,0,0,6.00
Leganes,Alberto Brignoli,0,0,0,0,0,5.80
