Team,League
Bayern Munich,Bundesliga
Borussia Dortmund,Bundesliga
RasenBallsport Leipzig,Bundesliga
Bayer Leverkusen,Bundesliga
Borussia M.Gladbach,Bundesliga
Wolfsburg,Bundesliga
Eintracht Frankfurt,Bundesliga
Werder Bremen,Bundesliga
Hoffenheim,Bundesliga
Fortuna Duesseldorf,Bundesliga
Hertha Berlin,Bundesliga
Mainz 05,Bundesliga
Freiburg,Bundesliga
Schalke 04,Bundesliga
Augsburg,Bundesliga
VfB Stuttgart,Bundesliga
Hannover 96,Bundesliga
Nuernberg,Bundesliga
Barcelona,LaLiga
Atletico Madrid,LaLiga
Real Madrid,LaLiga
Valencia,LaLiga
Getafe,LaLiga
Sevilla,LaLiga
Espanyol,LaLiga
Athletic Bilbao,LaLiga
Real Sociedad,LaLiga
Deportivo Alaves,LaLiga
Real Betis,LaLiga
Eibar,LaLiga
Leganes,LaLiga
Villarreal,LaLiga
Levante,LaLiga
Real Valladolid,LaLiga
Celta Vigo,LaLiga
Girona,LaLiga
SD Huesca,LaLiga
Rayo Vallecano,LaLiga
Paris Saint-Germain,Ligue1
Lille,Ligue1
Lyon,Ligue1
Saint-Etienne,Ligue1
Marseille,Ligue1
Montpellier,Ligue1
Nice,Ligue1
Reims,Ligue1
Nimes,Ligue1
Rennes,Ligue1
Strasbourg,Ligue1
Nantes,Ligue1
Angers,Ligue1
Bordeaux,Ligue1
Amiens,Ligue1
Toulouse,Ligue1
Monaco,Ligue1
Dijon,Ligue1
Caen,Ligue1
Guingamp,Ligue1
Manchester City,PremierLeague
Liverpool,PremierLeague
Chelsea,PremierLeague
Tottenham,PremierLeague
Arsenal,PremierLeague
Manchester United,PremierLeague
Wolverhampton Wanderers,PremierLeague
Everton,PremierLeague
Leicester,PremierLeague
West Ham,PremierLeague
Watford,PremierLeague
Crystal Palace,PremierLeague
Newcastle United,PremierLeague
Bournemouth,PremierLeague
Burnley,PremierLeague
Southampton,PremierLeague
Brighton,PremierLeague
Cardiff,PremierLeague
Fulham,PremierLeague
Huddersfield,PremierLeague
Juventus,SerieA
Napoli,SerieA
Atalanta,SerieA
Inter,SerieA
AC Milan,SerieA
Roma,SerieA
Torino,SerieA
Lazio,SerieA
Sampdoria,SerieA
Bologna,SerieA
Sassuolo,SerieA
Udinese,SerieA
SPAL 2013,SerieA
Parma Calcio 1913,SerieA
Cagliari,SerieA
Fiorentina,SerieA
Genoa,SerieA
Empoli,SerieA
Frosinone,SerieA
Chievo,SerieA
